method,seed,sample_index,true_class,original_class,counterfactual_class,time_seconds,num_grad_updates_used,EN,IM1,IM2,is_satisfactory
C,42,4542,0,0,0,2.667825900018215,500,27.39393768310547,0.9999998807907104,0.05814790353178978,0
D,42,4542,0,0,0,3.3895531999878585,500,43.67148132324219,0.9999998807907104,0.04887867718935013,0
E,42,4542,0,0,0,2.2309527000179514,500,27.398769760131835,0.9999998807907104,0.0580734945833683,0
F,42,4542,0,0,0,2.7781265000230633,500,43.652845764160155,0.9999998807907104,0.04888901486992836,0
A,43,4542,0,0,0,2.1520505999797024,500,0.02753972437931225,0.9999999403953552,0.056656140834093094,0
B,43,4542,0,0,0,2.7651099000358954,500,33.92966079711914,0.9999998211860657,0.046111591160297394,0
C,43,4542,0,0,0,2.636107500002254,500,27.39393768310547,0.9999998807907104,0.05814790353178978,0
D,43,4542,0,0,0,3.1450252999784425,500,43.67148132324219,0.9999998807907104,0.04887867718935013,0
E,43,4542,0,0,0,2.0877112000016496,500,27.398769760131835,0.9999998807907104,0.0580734945833683,0
F,43,4542,0,0,0,2.574910099967383,500,43.652845764160155,0.9999998807907104,0.04888901486992836,0
A,44,4542,0,0,0,2.2479676000075415,500,0.02753972437931225,0.9999999403953552,0.056656140834093094,0
B,44,4542,0,0,0,2.8008556999848224,500,33.92966079711914,0.9999998211860657,0.046111591160297394,0
C,44,4542,0,0,0,2.6168057000031695,500,27.39393768310547,0.9999998807907104,0.05814790353178978,0
D,44,4542,0,0,0,3.0705195000045933,500,43.67148132324219,0.9999998807907104,0.04887867718935013,0
E,44,4542,0,0,0,2.032863800006453,500,27.398769760131835,0.9999998807907104,0.0580734945833683,0
F,44,4542,0,0,0,2.6105374000035226,500,43.652845764160155,0.9999998807907104,0.04888901486992836,0
A,42,7133,0,0,0,2.1957594000268728,500,0.02725971744512208,0.9999998807907104,0.06197820231318474,0
B,42,7133,0,0,0,2.8046775000402704,500,38.898430252075194,0.9999998211860657,0.03692140057682991,0
C,42,7133,0,0,0,2.6283906999742612,500,18.086640548706054,0.9999998807907104,0.048821404576301575,0
D,42,7133,0,0,0,3.081476000021212,500,36.95888137817383,0.9999998211860657,0.03581846505403519,0
E,42,7133,0,0,0,1.9624028999824077,500,18.081865310668945,0.9999998807907104,0.04900345578789711,0
F,42,7133,0,0,0,2.6004069999908097,500,36.9266716003418,0.9999998211860657,0.035828135907649994,0
A,43,7133,0,0,0,2.208066900027916,500,0.02725971744512208,0.9999998807907104,0.06197820231318474,0
B,43,7133,0,0,0,2.8221220000414178,500,38.898430252075194,0.9999998211860657,0.03692140057682991,0
C,43,7133,0,0,0,2.5704863000428304,500,18.086640548706054,0.9999998807907104,0.048821404576301575,0
D,43,7133,0,0,0,3.0811205999925733,500,36.95888137817383,0.9999998211860657,0.03581846505403519,0
E,43,7133,0,0,0,2.041064999997616,500,18.081865310668945,0.9999998807907104,0.04900345578789711,0
F,43,7133,0,0,0,2.595343300024979,500,36.9266716003418,0.9999998211860657,0.035828135907649994,0
A,44,7133,0,0,0,2.1799860000028275,500,0.02725971744512208,0.9999998807907104,0.06197820231318474,0
B,44,7133,0,0,0,2.7660433999844827,500,38.898430252075194,0.9999998211860657,0.03692140057682991,0
C,44,7133,0,0,0,2.5889837999711744,500,18.086640548706054,0.9999998807907104,0.048821404576301575,0
D,44,7133,0,0,0,3.0743571000057273,500,36.95888137817383,0.9999998211860657,0.03581846505403519,0
E,44,7133,0,0,0,2.0824476999696344,500,18.081865310668945,0.9999998807907104,0.04900345578789711,0
F,44,7133,0,0,0,2.602977500006091,500,36.9266716003418,0.9999998211860657,0.035828135907649994,0
A,42,1121,0,0,0,2.1855225000181235,500,0.06484411964192986,0.9999998807907104,0.06058816984295845,0
B,42,1121,0,0,6,2.4223701000446454,429,36.86137046813965,20.75257110595703,0.6896878480911255,1
C,42,1121,0,0,6,0.2289396999985911,43,18.119029235839843,4.832503318786621,0.5897523164749146,1
D,42,1121,0,0,6,0.261472100042738,42,18.470498847961426,7.076874732971191,0.6223917603492737,1
E,42,1121,0,0,6,0.19374179997248575,44,18.323448181152344,4.84655237197876,0.5898205637931824,1
F,42,1121,0,0,6,0.20781390002230182,41,18.230514144897462,7.053109169006348,0.6223694682121277,1
A,43,1121,0,0,0,2.1755735999904573,500,0.06484411964192986,0.9999998807907104,0.06058816984295845,0
